iter	Passed	Remaining
655	986	517
656	987	515
657	988	513
658	988	511
659	989	509
660	990	507
661	990	505
662	991	503
663	991	501
664	992	500
665	993	498
666	993	496
667	994	494
668	995	492
669	996	490
670	996	488
671	997	486
672	998	484
673	999	483
674	1000	481
675	1001	480
676	1002	478
677	1003	476
678	1003	474
679	1004	472
680	1005	470
681	1005	468
682	1006	467
683	1007	465
684	1007	463
685	1008	461
686	1009	459
687	1009	457
688	1010	456
689	1011	454
690	1011	452
691	1012	450
692	1012	448
693	1014	447
694	1016	445
695	1017	444
696	1017	442
697	1018	440
698	1019	439
699	1020	437
700	1021	435
701	1021	433
702	1022	432
703	1023	430
704	1023	428
705	1024	426
706	1025	424
707	1025	423
708	1026	421
709	1027	419
710	1027	417
711	1028	416
712	1030	414
713	1032	413
714	1032	411
715	1033	409
716	1034	408
717	1034	406
718	1035	404
719	1035	402
720	1036	401
721	1037	399
722	1037	397
723	1038	395
724	1039	394
725	1040	392
726	1040	390
727	1041	389
728	1041	387
729	1042	385
730	1043	383
731	1044	382
732	1045	380
733	1046	379
734	1047	377
735	1048	376
736	1048	374
737	1049	372
738	1050	370
739	1050	369
740	1051	367
741	1052	365
742	1052	364
743	1053	362
744	1054	360
745	1054	359
746	1055	357
747	1056	355
748	1056	354
749	1057	352
750	1058	350
751	1058	349
752	1060	347
753	1061	346
754	1062	344
755	1063	343
756	1064	341
757	1065	340
758	1065	338
759	1066	336
760	1067	335
761	1067	333
762	1068	331
763	1069	330
764	1069	328
765	1070	327
766	1071	325
767	1071	323
768	1072	322
769	1073	320
770	1073	318
771	1076	317
772	1077	316
773	1077	314
774	1078	313
775	1079	311
776	1079	309
777	1080	308
778	1081	306
779	1081	305
780	1082	303
781	1083	301
782	1084	300
783	1084	298
784	1085	297
785	1086	295
786	1087	294
787	1088	292
788	1088	291
789	1090	289
790	1091	288
791	1092	286
792	1093	285
793	1093	283
794	1094	282
795	1095	280
796	1095	279
797	1096	277
798	1097	276
799	1097	274
800	1098	272
801	1099	271
802	1100	269
803	1100	268
804	1101	266
805	1101	265
806	1102	263
807	1103	262
808	1103	260
809	1105	259
810	1106	257
811	1107	256
812	1107	254
813	1108	253
814	1109	251
815	1109	250
816	1110	248
817	1111	247
818	1111	245
819	1112	244
820	1113	242
821	1114	241
822	1114	239
823	1115	238
824	1116	236
825	1116	235
826	1117	233
827	1118	232
828	1118	230
829	1119	229
830	1121	228
831	1122	226
832	1122	225
833	1123	223
834	1124	222
835	1124	220
836	1125	219
837	1126	217
838	1126	216
839	1127	214
840	1128	213
841	1129	211
842	1129	210
843	1130	208
844	1131	207
845	1132	206
846	1132	204
847	1133	203
848	1135	202
849	1137	200
850	1138	199
851	1138	197
852	1139	196
853	1140	194
854	1140	193
855	1141	192
856	1142	190
857	1142	189
858	1143	187
859	1144	186
860	1144	184
861	1145	183
862	1146	181
